CustomerID,CustomerName,Country,Email,PhoneNumber,SignupDate,LastPurchaseDate,LoyaltyPoints,CustomerSegment,PreferredStoreID
35,Customer 35,USA,customer35@example.com,+12345678935,2023-06-17 08:58:54.104304,2024-05-01 08:58:54.104469,492,Regular,3
36,Customer 36,France,customer36@example.com,+12345678936,2022-09-14 08:58:54.104306,2024-03-09 08:58:54.104471,809,VIP,9
37,Customer 37,France,customer37@example.com,+12345678937,2023-03-10 08:58:54.104307,2023-10-05 08:58:54.104472,371,Regular,5
38,Customer 38,France,customer38@example.com,+12345678938,2023-06-18 08:58:54.104309,2024-03-03 08:58:54.104474,875,Regular,8
39,Customer 39,USA,customer39@example.com,+12345678939,2023-02-09 08:58:54.104310,2024-01-03 08:58:54.104476,355,Wholesale,10
40,Customer 40,UK,customer40@example.com,+12345678940,2022-07-02 08:58:54.104312,2024-06-05 08:58:54.104477,169,VIP,9
41,Customer 41,France,customer41@example.com,+12345678941,2022-09-13 08:58:54.104314,2024-04-20 08:58:54.104479,250,Regular,9
42,Customer 42,Germany,customer42@example.com,+12345678942,2023-04-23 08:58:54.104316,2024-01-09 08:58:54.104481,663,Wholesale,4
43,Customer 43,UK,customer43@example.com,+12345678943,2023-06-04 08:58:54.104318,2023-09-30 08:58:54.104482,253,Regular,3
44,Customer 44,Canada,customer44@example.com,+12345678944,2022-09-27 08:58:54.104319,2023-07-27 08:58:54.104484,744,VIP,6
45,Customer 45,Germany,customer45@example.com,+12345678945,2023-06-22 08:58:54.104321,2024-03-25 08:58:54.104486,820,VIP,7
46,Customer 46,UK,customer46@example.com,+12345678946,2023-04-16 08:58:54.104323,2024-06-20 08:58:54.104487,279,Wholesale,5
47,Customer 47,USA,customer47@example.com,+12345678947,2022-11-28 08:58:54.104324,2024-01-04 08:58:54.104489,122,Wholesale,6
48,Customer 48,Germany,customer48@example.com,+12345678948,2022-08-08 08:58:54.104326,2024-02-29 08:58:54.104490,840,Wholesale,8
49,Customer 49,UK,customer49@example.com,+12345678949,2023-06-20 08:58:54.104327,2023-12-13 08:58:54.104492,553,Wholesale,10
50,Customer 50,UK,customer50@example.com,+12345678950,2022-11-29 08:58:54.104329,2023-07-18 08:58:54.104493,237,Wholesale,1
